date	All_India	South	North	West	East	NorthEast
20130101	36	33	34	38.2	33	46
20130102	36	33	34	38.2	33	46
20130103	36	33	34	38.2	33	46
20130104	36	33	34	38.2	33	46
20130107	36	33	34	38.2	33	46
20130108	36	33	34	38.1	33	46
20130109	36	33	34	38	33	46
20130110	36	33	34.1	38	33	46
20130111	36	33	34.4	38	33	46
20130114	36	33	34.7	38	33	46
20130115	36	33	34.8	38	33	46
20130116	36	33	34.9	38	33	46
20130117	36	33	35.2	38	33	46
20130118	36	33	35.3	38	33	46
20130121	36	33.1	35.4	38	33	46
20130122	36	33.2	35.6	38	33	46
20130123	36.1	33.3	35.8	38.1	33	46
20130124	36.1	33.4	35.6	38.2	33	46
20130128	36.2	33.6	35.7	38.3	33.1	46
20130130	36.2	33.7	35.7	38.4	33.2	46
20130131	36.2	33.8	35.7	38.6	33.3	46
20130201	36.2	33.9	35.4	38.7	33.4	46
20130204	36.3	34	35.6	38.8	33.6	46
20130205	36.3	34	35.6	38.8	33.7	46
20130206	36.3	34	35.6	38.9	33.8	46
20130207	36.2	34	35.3	38.9	33.9	46
20130208	36.3	34	35.6	38.9	34	46
20130211	36.2	34	35.3	38.9	34	46
20130212	36.2	34	35.3	38.9	34	46
20130213	36.2	34	35.3	38.9	34	46
20130214	36.2	34	35.3	38.9	34	46
20130215	36.1	34	35.3	38.9	34	46
20130218	36.1	34	35.3	39	34	46
20130219	36.1	34	35.3	39	34	46
20130220	36.1	34	35.3	39	34	46
20130221	36	34	35.1	39	34	46
20130222	36	34	35.1	39	34	46
20130225	36	34	35.1	39	34	46
20130226	36.1	34	35.2	39	34	46
20130227	36.1	34	35.2	39	34	46
20130228	36.1	34	35.1	39	34	46
20130301	36.1	34	35.1	39	34	46
20130304	36.1	34	35.1	39	34	46
20130305	36.1	34	35.1	39	34	46
20130306	36.1	34	35.2	39	34	46
20130307	36.1	34	35.2	39	34	46
20130308	36.1	34	35.2	39	34	46
20130311	36	34	35.1	39	34	46
20130312	36	34	35.1	38.9	34	46
20130313	36	34	35.1	38.8	34	46
20130314	36	34	35.1	38.7	34	46
20130315	36	34	35.1	38.6	34	46
20130318	36	34	35.1	38.4	34	46
20130319	36	34	35	38.3	34	46
20130320	36	34	35	38.2	34	46
20130321	36	34	35	38.2	34	46
20130322	36	34	35.1	38.1	34	46
20130325	36	34	35.1	38.1	34	46
20130326	36	34	35.1	38.1	34	46
20130328	36	34	35.1	38.1	34	46
20130401	36	34	35.1	38.2	34	46
20130402	36	34	35.1	38.3	34	46
20130403	36	34	35.1	38.3	34	46
20130404	36	34	35.1	38.3	34	46
20130405	36	34	35.1	38.2	34	46
20130408	36	34	35	38.2	34	46
20130409	36	34	35	38.2	34	46
20130410	36	34	35	38.2	34	46
20130411	36	34	35	38.2	34	46
20130412	36	34	35	38.1	34	46
20130415	36	34	35.1	38	34	46
20130416	36	34	35.1	38	34	46
20130417	36	34	35.1	38	34	46
20130418	36	34	35.1	38	34	46
20130422	36	34	35.1	38	34	46
20130423	36	34	35.1	38	34	46
20130425	36	34	35.1	38	34	46
20130426	36	34	35.1	38	34	46
20130429	36	34	35.1	38	34	46
20130430	36	34	35	38.1	34	46
20130501	36	34	35	38.1	34	46
20130502	36	34	35	38.1	34	46
20130503	36	34	35	38.2	34	46
20130506	36	34	35	38.3	34	46
20130507	36	34	35	38.4	34	46
20130508	36.1	34	35.1	38.6	34	46
20130509	36.1	34	35.1	38.7	34	46
20130510	36.1	34	35.1	38.8	34	46
20130513	36.1	34	35.1	38.8	34	46
20130514	36.1	34	35.1	38.8	34	46
20130515	36.1	34	35.1	38.8	34	46
20130516	36.1	34	35.1	38.7	34	46
20130517	36.1	34	35.1	38.7	34	46
20130520	36.1	34	35	38.7	34	46
20130521	36	34	34.9	38.7	34	46
20130522	36	34	34.9	38.7	34	46
20130523	36	34	34.9	38.7	34	46
20130524	36	34	35	38.7	34	46
20130527	36	34	35.1	38.8	34	46
20130528	36	34	35.2	38.9	34	46
20130529	36	34	35.3	39	34	46
20130530	36.1	34	35.4	39	34	46
20130531	36.2	34	35.7	39	34	46
20130603	36.2	34	35.8	39	34	46
20130604	36.2	34	35.8	39	34	46
20130605	36.2	34	35.8	39	34	46
20130607	36.2	34	35.7	39	34	46
20130610	36.2	34	35.6	39	34	46
20130611	36.2	34	35.4	39	34	46
20130612	36.3	34	35.4	39	34	46
20130613	36.2	34	35.3	39	34	46
20130614	36.1	34	35.2	39	34	46
20130617	36.1	34	35.1	39	34	46
20130618	36.1	34	35.1	39	34	46
20130619	36.1	34	35.1	39	34	46
20130620	36.1	34	35.1	39	34	46
20130621	36.2	34	35.2	39	34	46
20130624	36.2	34	35.2	39	34	46
