year	money	number
Andhra Pradesh	9656	413
Arunachal Pradesh	46	93
Assam	829	69
Bihar	7775	195
Goa	67	98
Gujarat	11691	506
Haryana	7901	800
Himachal Pradesh	1172	461
J & K	1951	302
Karnataka	6121	272
Kerala	2711	203
Madhya Pradesh	10779	349
Maharashtra	9542	219
Manipur	82	80
Meghalaya	83	84
Mizoram	20	40
Nagaland	76	95
Orissa	1903	122
Punjab	10351	980
Rajasthan	16934	572
Sikkim	50	200
Tamil Nadu	7132	280
Tripura	141	95
Uttar Pradesh	25198	318
West Bengal	4961	145
A&N Islands	16	84
Chandigarh	44	101
D&N Haveli	9	98
Daman & Diu	1	10
Delhi	280	39
Lakshadweep	4	219
Pondicherry	48	111
Chhattisgarh	1232	130
Uttarakhand	1565	418
Jharkhand	1734	146
